"IndividualId","Time [min]","Organism|VenousBlood|Plasma|Inulin|Concentration in container [µmol/l]"
0,87.6,21.28948
0,87.9,21.1753
0,88.2,21.06175
0,88.5,20.94883
0,88.8,20.83652
0,89.1,20.72484
0,89.4,20.61377
0,89.7,20.50331
0,90,20.39347
0,90.3,20.28423
0,90.6,20.17559
0,90.9,20.06755
0,91.2,19.96011
0,91.5,19.85325
0,91.8,19.74699
0,92.1,19.64131
0,92.4,19.53621
0,92.7,19.4317
0,93,19.32775
0,93.3,19.22439
0,93.6,19.12158
0,93.9,19.01933
0,94.2,18.91765
0,94.5,18.81653
0,94.8,18.71596
0,95.1,18.61594
0,95.4,18.51647
0,95.7,18.41754
0,96,18.31916
0,96.3,18.22131
0,96.6,18.124
0,96.9,18.02723
0,97.2,17.93098
0,97.5,17.83526
0,97.8,17.74007
0,98.1,17.64539
0,98.4,17.55123
0,98.7,17.45759
0,99,17.36445
0,99.3,17.27183
0,99.6,17.1797
0,99.9,17.08809
0,100.2,16.99697
0,100.5,16.90635
0,100.8,16.81622
0,101.1,16.72658
0,101.4,16.63743
0,101.7,16.54877
0,102,16.46059
0,102.3,16.37289
0,102.6,16.28568
0,102.9,16.19893
0,103.2,16.11266
0,103.5,16.02685
0,103.8,15.94151
0,104.1,15.85663
0,104.4,15.77221
0,104.7,15.68826
0,105,15.60476
0,105.3,15.52171
0,105.6,15.43911
0,105.9,15.35697
0,106.2,15.27526
0,106.5,15.19401
0,106.8,15.11319
0,107.1,15.03281
0,107.4,14.95286
0,107.7,14.87335
0,108,14.79428
0,108.3,14.71563
0,108.6,14.6374
0,108.9,14.5596
0,109.2,14.48222
0,109.5,14.40525
0,109.8,14.32871
0,110.1,14.25258
0,110.4,14.17686
0,110.7,14.10155
0,111,14.02664
0,111.3,13.95215
0,111.6,13.87805
0,111.9,13.80436
0,112.2,13.73106
0,112.5,13.65816
0,112.8,13.58566
0,113.1,13.51355
0,113.4,13.44182
0,113.7,13.37048
0,114,13.29952
0,114.3,13.22895
0,114.6,13.15876
0,114.9,13.08895
0,115.2,13.01951
0,115.5,12.95045
0,115.8,12.88175
0,116.1,12.81343
0,116.4,12.74548
0,116.7,12.6779
0,117,12.61067
0,117.3,12.54381
0,117.6,12.47731
0,117.9,12.41117
0,118.2,12.34539
0,118.5,12.27995
0,118.8,12.21488
0,119.1,12.15015
0,119.4,12.08577
0,119.7,12.02173
0,120,11.95805
0,120.3,11.8947
0,120.6,11.8317
0,120.9,11.76903
0,121.2,11.70669
0,121.5,11.64469
0,121.8,11.58303
0,122.1,11.52169
0,122.4,11.46069
0,122.7,11.40001
0,123,11.33966
0,123.3,11.27963
0,123.6,11.21992
0,123.9,11.16054
0,124.2,11.10147
0,124.5,11.04272
0,124.8,10.98429
0,125.1,10.92617
0,125.4,10.86836
0,125.7,10.81086
0,126,10.75367
0,126.3,10.69679
0,126.6,10.64021
0,126.9,10.58394
0,127.2,10.52797
0,127.5,10.47229
0,127.8,10.41692
0,128.1,10.36185
0,128.4,10.30706
0,128.7,10.25257
0,129,10.19837
0,129.3,10.14447
0,129.6,10.09085
0,129.9,10.03751
0,130.2,9.984466
0,130.5,9.931703
0,130.8,9.879221
0,131.1,9.827022
0,131.4,9.775101
0,131.7,9.723457
0,132,9.672091
0,132.3,9.620998
0,132.6,9.57018
0,132.9,9.519633
0,133.2,9.469357
0,133.5,9.41935
0,133.8,9.36961
0,134.1,9.320136
0,134.4,9.270926
0,134.7,9.22198
0,135,9.173295
0,135.3,9.124871
0,135.6,9.076705
0,135.9,9.028796
0,136.2,8.981143
0,136.5,8.933744
0,136.8,8.886599
