"IndividualId","Time [min]","Organism|VenousBlood|Plasma|Inulin|Concentration in container [µmol/l]","Organism|Bone|Inulin|Whole Organ [µmol/l]","Organism|Heart|Inulin|Whole Organ [µmol/l]","Organism|SmallIntestine|Inulin|Whole Organ (Small Intestine) [µmol/l]","Organism|LargeIntestine|Inulin|Whole Organ (Large Intestine) [µmol/l]","Organism|Lung|Inulin|Whole Organ [µmol/l]","Organism|Muscle|Inulin|Whole Organ [µmol/l]","Organism|Skin|Inulin|Whole Organ [µmol/l]"
0,154.5,0.650682,0.07779241,0.1019921,0.1367481,0.3544645,0.3275015,0.1082132,0.3200046
0,155,0.6449865,0.07711047,0.1010993,0.1355509,0.351361,0.3246345,0.1072606,0.317199
0,155.5,0.6393414,0.07643458,0.1002143,0.1343642,0.348285,0.3217928,0.1063166,0.3144181
0,156,0.6337463,0.07576469,0.09933723,0.1331881,0.3452362,0.3189762,0.105381,0.3116617
0,156.5,0.6282001,0.07510068,0.0984678,0.1320222,0.3422141,0.3161843,0.1044536,0.3089293
0,157,0.6227027,0.07444252,0.09760603,0.1308666,0.3392186,0.313417,0.1035346,0.3062209
0,157.5,0.6172539,0.0737902,0.09675186,0.1297212,0.3362496,0.3106741,0.1026237,0.3035364
0,158,0.6118531,0.07314364,0.09590523,0.1285859,0.3333067,0.3079554,0.101721,0.3008755
0,158.5,0.6065,0.0725028,0.09506607,0.1274607,0.3303899,0.3052607,0.1008263,0.2982379
0,159,0.6011941,0.07186763,0.09423431,0.1263453,0.3274987,0.3025897,0.09993958,0.2956236
0,159.5,0.5959349,0.07123808,0.09340989,0.1252398,0.3246331,0.2999424,0.09906079,0.2930322
0,160,0.5907223,0.07061409,0.09259275,0.1241441,0.3217928,0.2973184,0.09818983,0.2904636
0,160.5,0.5855555,0.06999563,0.09178281,0.1230581,0.3189776,0.2947176,0.09732664,0.2879176
0,161,0.5804344,0.06938263,0.09098002,0.1219816,0.3161872,0.2921396,0.09647115,0.2853941
0,161.5,0.5753584,0.06877506,0.09018432,0.1209146,0.3134214,0.2895845,0.09562328,0.2828927
0,162,0.5703273,0.06817286,0.08939564,0.1198571,0.3106801,0.2870519,0.09478299,0.2804134
0,162.5,0.5653405,0.06757598,0.08861392,0.1188088,0.3079629,0.2845417,0.09395018,0.2779558
0,163,0.5603978,0.06698439,0.08783911,0.1177699,0.3052698,0.2820537,0.09312481,0.2755199
0,163.5,0.5554987,0.06639802,0.08707114,0.1167401,0.3026004,0.2795876,0.09230679,0.2731055
0,164,0.5506423,0.0658168,0.08630986,0.1157193,0.2999543,0.277143,0.09149596,0.2707121
0,164.5,0.5458287,0.0652407,0.08555529,0.1147075,0.2973316,0.2747199,0.09069234,0.2683398
0,165,0.5410575,0.06466968,0.08480736,0.1137046,0.2947319,0.2723182,0.08989587,0.2659884
0,165.5,0.5363283,0.0641037,0.08406602,0.1127105,0.2921551,0.2699377,0.08910647,0.2636577
0,166,0.5316407,0.06354272,0.0833312,0.1117252,0.2896011,0.2675781,0.0883241,0.2613474
0,166.5,0.5269944,0.06298669,0.08260287,0.1107486,0.2870695,0.2652393,0.08754867,0.2590575
0,167,0.5223891,0.06243556,0.08188094,0.1097806,0.2845603,0.2629211,0.08678014,0.2567877
0,167.5,0.5178242,0.0618893,0.08116537,0.1088211,0.2820731,0.2606233,0.08601844,0.2545379
0,168,0.5132996,0.06134786,0.08045612,0.10787,0.2796079,0.2583458,0.08526351,0.2523079
0,168.5,0.5088149,0.0608112,0.0797531,0.1069274,0.2771644,0.2560883,0.08451528,0.2500975
0,169,0.5043696,0.06027927,0.07905628,0.105993,0.2747424,0.2538507,0.08377371,0.2479066
0,169.5,0.4999636,0.05975204,0.0783656,0.1050669,0.2723418,0.2516328,0.08303872,0.2457349
0,170,0.4955963,0.05922947,0.07768101,0.104149,0.2699623,0.2494345,0.08231027,0.2435824
0,170.5,0.4912676,0.05871151,0.07700246,0.1032391,0.2676038,0.2472556,0.08158831,0.2414489
0,171,0.4869768,0.05819811,0.07632986,0.1023372,0.2652661,0.2450958,0.08087273,0.2393341
0,171.5,0.4827235,0.0576892,0.07566313,0.1014433,0.2629488,0.2429549,0.08016344,0.2372378
0,172,0.4785076,0.05718477,0.07500228,0.1005571,0.2606518,0.2408327,0.07946044,0.2351599
0,172.5,0.4743288,0.05668479,0.07434723,0.0996788,0.258375,0.2387293,0.07876367,0.2331003
0,173,0.4701867,0.05618921,0.07369794,0.09880819,0.2561183,0.2366444,0.07807308,0.2310589
0,173.5,0.4660811,0.055698,0.07305436,0.09794524,0.2538814,0.2345777,0.0773886,0.2290354
0,174,0.4620115,0.05521111,0.07241643,0.09708988,0.2516642,0.2325293,0.07671019,0.2270297
0,174.5,0.4579777,0.05472851,0.07178412,0.09624204,0.2494665,0.2304989,0.07603779,0.2250416
0,175,0.4539794,0.05425017,0.07115737,0.09540166,0.2472881,0.2284863,0.07537135,0.223071
0,175.5,0.4500163,0.05377604,0.07053614,0.09456867,0.2451289,0.2264914,0.07471081,0.2211178
0,176,0.446088,0.05330608,0.06992036,0.09374301,0.2429886,0.2245141,0.07405613,0.2191818
0,176.5,0.4421942,0.05284028,0.06931,0.09292461,0.2408673,0.2225542,0.07340726,0.2172628
0,177,0.4383347,0.05237857,0.06870501,0.09211342,0.2387645,0.2206115,0.07276413,0.2153607
0,177.5,0.4345092,0.05192094,0.06810535,0.09130937,0.2366803,0.2186859,0.07212671,0.2134753
0,178,0.4307174,0.05146735,0.06751098,0.09051239,0.2346145,0.2167773,0.07149494,0.2116066
0,178.5,0.4269587,0.05101773,0.06692179,0.08972239,0.2325667,0.2148854,0.07086874,0.2097543
0,179,0.4232328,0.05057204,0.06633776,0.0889393,0.2305368,0.21301,0.07024804,0.2079181
0,179.5,0.4195397,0.05013027,0.06575885,0.08816308,0.2285248,0.2111511,0.06963282,0.2060982
0,180,0.415879,0.04969238,0.06518503,0.08739368,0.2265304,0.2093084,0.06902304,0.2042942
