"Time [h]","Measurement [mg/l]","Error [mg/l]"
0.01341282,4204.035,474.5723
0.0804769,1705.788,343.3026
0.1564829,1045.605,214.2051
0.2459017,724.2318,325.1993
0.3308495,549.8201,212.6638
0.4962741,293.5829,87.00407
0.7421758,174.3906,41.94299
0.9880775,166.3671,85.25032
1.488823,70.51447,19.35951
1.989568,49.48978,20.50202
2.991058,24.37755,16.86256
