"Time [h]","Measurement [mg/l]","Error [mg/l]"
0.01341282,294.3059,38.27429
0.03129657,180.4555,23.46342
0.0804769,94.95115,18.29095
0.1609538,49.95295,11.42914
0.3308495,30.60525,9.718702
0.4962741,26.2457,7.494007
0.7421758,17.0873,3.90984
0.9925485,12.76478,4.315693
1.493294,5.012314,1.745024
1.989568,3.161005,1.572008
2.99553,1.870406,0.8398619
